ApplicantID,JobID,Rating
42,153229,5
2362,153523,5
2520,137778,5
2667,153216,5
2781,75522,5
2781,75665,5
2781,89980,5
2781,126597,5
2781,148097,5
2781,172825,5
2781,191418,5
2784,64600,5
2784,94756,5
2784,104226,5
2841,2580,5
2841,44617,5
3037,31453,5
3098,47728,5
3098,51451,5
3172,74842,5
3227,73002,5
3227,119927,5
3352,90688,5
3357,5056,5
3357,30852,5
3357,97235,5
3390,153709,5
3526,4952,5
3779,231268,5
3796,79599,5
3796,143509,5
3841,153208,5
3916,38190,5
3950,81206,5
3950,91623,5
3950,129765,5
4016,89628,5
4016,157959,5
4207,48767,5
4239,226874,5
4574,68250,5
4574,84616,5
4607,185177,5
4851,183156,5
4960,49256,5
5192,49346,5
5286,153272,5
5332,31027,5
5332,99682,5
5380,98383,5
5380,138201,5
5563,42157,5
5563,47271,5
5624,38930,5
5713,67714,5
5825,54363,5
5995,54962,5
5995,106708,5
6092,54073,5
6177,48596,5
6177,210312,5
6242,73164,5
6242,93658,5
6265,52139,5
6288,153258,5
6309,39112,5
6395,49957,5
6585,49242,5
6636,51638,5
6686,46608,5
6686,46759,5
6690,44805,5
6737,23182,5
6737,38403,5
6739,15629,5
6739,32454,5
6739,45692,5
6739,46538,5
6774,46798,5
6781,4368,5
6781,48786,5
6795,38778,5
6803,45623,5
6808,45290,5
6808,54733,5
6808,62152,5
6808,75665,5
6808,126597,5
6808,137057,5
6811,43984,5
6811,47408,5
6811,47430,5
6822,21270,5
6838,38778,5
6838,43660,5
6838,47116,5
6852,44558,5
6854,48039,5
6859,45272,5
6862,34952,5
6884,46708,5
6886,48207,5
6887,48200,5
6887,48285,5
6889,43127,5
6889,48284,5
6889,48285,5
6890,35222,5
6893,35931,5
6893,48200,5
6893,48285,5
6901,37559,5
6901,37633,5
6901,48200,5
6901,48285,5
6907,48284,5
6915,48200,5
6915,48284,5
6916,48285,5
6917,48284,5
6919,48284,5
6919,48285,5
6924,34030,5
6925,11179,5
6925,48200,5
6925,48285,5
6929,41165,5
6945,47232,5
6945,48285,5
6945,51911,5
6945,54393,5
6945,56347,5
6945,56542,5
6945,57666,5
6945,64752,5
6945,68250,5
6945,70181,5
6945,85042,5
6945,86234,5
6945,90688,5
6945,95173,5
6945,104040,5
6945,116122,5
6945,116484,5
6945,125506,5
6945,128999,5
6945,141973,5
6945,153340,5
6945,153534,5
6945,163030,5
6947,48285,5
6955,48200,5
6961,27387,5
6961,41376,5
6964,51656,5
6965,28907,5
6977,44993,5
6982,48285,5
6989,48285,5
6996,47825,5
6999,48200,5
6999,48285,5
7004,48200,5
7004,48285,5
7004,54393,5
7004,96288,5
7009,19350,5
7009,47407,5
7016,47232,5
7017,32547,5
7017,38778,5
7037,52795,5
7050,48200,5
7050,48285,5
7068,9390,5
7080,39391,5
7081,39710,5
7081,46698,5
